ts,type,side,price_ticks,qty,id
1784862981632295380,add,buy,653233,765424,9637
1784862981632295380,add,buy,653234,153,9638
1784862981644477541,cancel,buy,653234,0,9638
1784862981644477541,cancel,buy,653126,0,9460
1784862981644477541,add,buy,653126,294,9639
1784862981644477541,cancel,buy,653249,0,9575
1784862981644477541,add,buy,653249,192985,9640
1784862981684635315,cancel,sell,653388,0,9600
1784862981684635315,cancel,sell,653432,0,9622
1784862981684635315,add,sell,653432,59000,9641
1784862981712408705,cancel,buy,653173,0,9564
1784862981712408705,cancel,buy,653125,0,9470
1784862981712408705,add,buy,653125,93920,9642
1784862981713667237,add,buy,653205,765455,9643
1784862981771885859,cancel,buy,653138,0,8671
1784862981771885859,cancel,buy,653125,0,9642
1784862981771885859,add,buy,653125,93920,9644
1784862981772295361,cancel,buy,653249,0,9640
1784862981772295361,add,buy,653249,682089,9645
1784862981777746245,cancel,buy,653191,0,9592
1784862981777746245,add,buy,653124,110000,9646
1784862981777746245,cancel,buy,653244,0,9630
1784862981777746245,add,buy,653244,3644424,9647
1784862981788393479,cancel,buy,653190,0,9539
1784862981788393479,cancel,buy,653118,0,9628
1784862981788393479,add,buy,653118,100000,9648
1784862981788637357,add,buy,653223,61520,9649
1784862981788710033,cancel,sell,653390,0,9178
1784862981788710033,cancel,sell,653433,0,9633
1784862981788710033,add,sell,653433,367,9650
1784862981815195561,cancel,sell,653368,0,9634
1784862981815195561,add,sell,653446,82593,9651
1784862981815357736,cancel,sell,653374,0,9354
1784862981815357736,add,sell,653374,765389,9652
1784862981815593791,cancel,buy,653244,0,9647
1784862981815593791,add,buy,653244,1531,9653
1784862981815593791,cancel,buy,653249,0,9645
1784862981815593791,add,buy,653249,4324926,9654
1784862981838181960,cancel,buy,653249,0,9654
1784862981838181960,add,buy,653249,682089,9655
1784862981838181960,add,buy,653234,3642904,9656
1784862981857707431,cancel,sell,653446,0,9651
1784862981857707431,cancel,sell,653457,0,9626
1784862981857707431,add,sell,653457,20739,9657
1784862981857885178,cancel,sell,653412,0,8141
1784862981857885178,add,sell,653412,82593,9658
1784862981900853393,cancel,sell,653374,0,9652
1784862981900853393,add,sell,653374,130,9659
1784862981901145966,add,sell,653365,765269,9660
1784862982115944277,cancel,buy,653234,0,9656
1784862982115944277,cancel,buy,653124,0,9646
1784862982115944277,add,buy,653124,110000,9661
1784862982115944277,add,buy,653224,3643000,9662
1784862982116114889,add,sell,653390,765240,9663
1784862982424791702,cancel,buy,653220,0,9629
1784862982424791702,cancel,buy,653124,0,9661
1784862982424791702,add,buy,653124,110000,9664
1784862982424791702,cancel,buy,653224,0,9662
1784862982424791702,add,buy,653224,3673591,9665
1784862982425052584,cancel,sell,653365,0,9660
1784862982425052584,cancel,sell,653432,0,9641
1784862982425052584,add,sell,653432,59000,9666
1784862982425143212,cancel,sell,653390,0,9663
1784862982425143212,cancel,sell,653433,0,9650
1784862982425143212,add,sell,653433,367,9667
1784862982425204583,cancel,sell,653379,0,9139
1784862982425204583,add,sell,653379,785996,9668
1784862982425253998,cancel,sell,653366,0,8509
1784862982425253998,add,sell,653366,51,9669
1784862982425305819,cancel,buy,653249,0,9655
1784862982425305819,add,buy,653249,741089,9670
1784862982425351727,cancel,sell,653370,0,9632
1784862982425351727,cancel,sell,653457,0,9657
1784862982425351727,add,sell,653457,20739,9671
1784862982425496940,cancel,sell,653428,0,9635
1784862982425496940,cancel,sell,653458,0,9576
1784862982425496940,add,sell,653458,849,9672
1784862982425592910,cancel,buy,653249,0,9670
1784862982425592910,add,buy,653249,740936,9673
1784862982425592910,cancel,buy,653244,0,9653
1784862982425592910,add,buy,653244,1684,9674
1784862982426021463,cancel,sell,653379,0,9668
1784862982426021463,add,sell,653379,20742,9675
1784862982426436825,cancel,buy,653244,0,9674
1784862982426436825,add,buy,653244,1531,9676
1784862982426436825,cancel,buy,653249,0,9673
1784862982426436825,add,buy,653249,741089,9677
1784862982426840822,add,buy,653163,2296514,9678
1784862982426894953,cancel,buy,653249,0,9677
1784862982426894953,add,buy,653249,775809,9679
1784862982430639335,cancel,sell,653298,0,9627
1784862982430639335,add,sell,653460,765159,9680
1784862982430639335,cancel,sell,653329,0,9246
1784862982430639335,add,sell,653329,384,9681
1784862982430820442,cancel,sell,653299,0,9624
